"","minute","mean","sd","CoV"
"1",0,1.21261261261261,0.182799363752203,0.150748360895204
"2",1,1.22037037037037,0.135493713285034,0.111026714983184
"3",2,1.21549295774648,0.103407191103522,0.0850742823679037
"4",3,1.20720720720721,0.146420535512595,0.121288652551478
"5",4,1.19822222222222,0.186793178921747,0.155891933447303
"6",5,1.19420289855072,0.121294438451634,0.101569372004403
